# BLASTN 2.8.1+
# Query: NR_114042.1 E. coli
# Database: V3V4_primers.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 16 hits found
NR_114042.1	785r2	95.238	21	1	0	758	778	21	1	1.62e-06	36.2
NR_114042.1	341f11	100.000	17	0	0	314	330	1	17	2.09e-05	32.5
NR_114042.1	785r3	90.476	21	2	0	758	778	21	1	7.52e-05	30.7
NR_114042.1	785r1	90.476	21	2	0	758	778	21	1	7.52e-05	30.7
NR_114042.1	341f41	94.118	17	1	0	314	330	1	17	0.001	27.0
NR_114042.1	341f31	94.118	17	1	0	314	330	1	17	0.001	27.0
NR_114042.1	341f21	94.118	17	1	0	314	330	1	17	0.001	27.0
NR_114042.1	341f21	100.000	8	0	0	1372	1379	11	4	2.1	15.9
NR_114042.1	341f21	100.000	8	0	0	11	18	7	14	2.1	15.9
NR_114042.1	341f12	94.118	17	1	0	314	330	1	17	0.001	27.0
NR_114042.1	341f32	88.235	17	2	0	314	330	1	17	0.045	21.4
NR_114042.1	341f22	88.235	17	2	0	314	330	1	17	0.045	21.4
NR_114042.1	341f22	100.000	8	0	0	1372	1379	11	4	2.1	15.9
NR_114042.1	341f22	100.000	8	0	0	494	501	15	8	2.1	15.9
NR_114042.1	341f42	88.235	17	1	1	314	330	1	16	0.16	19.6
NR_114042.1	341f42	100.000	8	0	0	896	903	4	11	2.1	15.9
# BLASTN 2.8.1+
# Query: NR_126253.1 L. helsingborgensis
# Database: V3V4_primers.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 15 hits found
NR_126253.1	785r2	95.238	21	1	0	752	772	21	1	1.58e-06	36.2
NR_126253.1	341f11	100.000	17	0	0	308	324	1	17	2.05e-05	32.5
NR_126253.1	785r3	90.476	21	2	0	752	772	21	1	7.37e-05	30.7
NR_126253.1	785r1	90.476	21	2	0	752	772	21	1	7.37e-05	30.7
NR_126253.1	341f41	94.118	17	1	0	308	324	1	17	0.001	27.0
NR_126253.1	341f31	94.118	17	1	0	308	324	1	17	0.001	27.0
NR_126253.1	341f21	94.118	17	1	0	308	324	1	17	0.001	27.0
NR_126253.1	341f21	100.000	8	0	0	1366	1373	11	4	2.1	15.9
NR_126253.1	341f12	94.118	17	1	0	308	324	1	17	0.001	27.0
NR_126253.1	341f32	88.235	17	2	0	308	324	1	17	0.044	21.4
NR_126253.1	341f22	88.235	17	2	0	308	324	1	17	0.044	21.4
NR_126253.1	341f22	100.000	8	0	0	1366	1373	11	4	2.1	15.9
NR_126253.1	341f22	100.000	8	0	0	488	495	15	8	2.1	15.9
NR_126253.1	341f42	88.235	17	1	1	308	324	1	16	0.16	19.6
NR_126253.1	341f42	100.000	8	0	0	891	898	4	11	2.1	15.9
# BLASTN 2.8.1+
